SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 126.508 1.283 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 128.508 1.000 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 130.008 2.000 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 135.508 0.500 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 135.842 0.033 <NA> <NA> speaker0 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 135.942 0.017 <NA> <NA> speaker0 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 141.508 2.000 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 161.375 0.133 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 163.142 0.483 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 167.692 0.649 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 171.325 0.183 <NA> <NA> speaker0 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 171.508 0.500 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 174.508 0.600 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 178.775 0.716 <NA> <NA> speaker1 <NA> <NA>
SPEAKER 85ecfa13-14ce-4c59-a824-b3405d258f13--0 1 179.742 0.267 <NA> <NA> speaker1 <NA> <NA>
